2011-07-14,3.48
2011-07-15,3.49
2011-07-18,3.5
2011-07-19,3.46
2011-07-20,3.45
2011-07-21,3.41
2011-07-22,3.4
2011-07-25,3.32
2011-07-26,3.33
2011-07-27,3.31
2011-07-28,3.27
2011-07-29,3.32
2011-08-01,3.3
2011-08-02,3.27
2011-08-03,3.27
2011-08-04,3.26
2011-08-05,3.16
2011-08-08,3.09
2011-08-09,3.13
2011-08-10,3.17
2011-08-11,3.22
2011-08-12,3.22
2011-08-15,3.28
2011-08-16,3.27
2011-08-17,3.29
2011-08-18,3.24
2011-08-19,3.2
2011-08-22,3.18
2011-08-23,3.23
2011-08-24,3.22
2011-08-25,3.34
2011-08-26,3.34
2011-08-29,3.27
2011-08-30,3.29
2011-08-31,3.29
2011-09-01,3.29
2011-09-02,3.27
2011-09-05,3.22
2011-09-06,3.2
2011-09-07,3.24
2011-09-08,3.22
2011-09-09,3.22
2011-09-13,3.21
2011-09-14,3.2
2011-09-15,3.17
2011-09-16,3.2
2011-09-19,3.13
2011-09-20,3.16
2011-09-21,3.22
2011-09-22,3.15
2011-09-23,3.12
2011-09-26,3.06
2011-09-27,3.09
2011-09-28,3.07
2011-09-29,3.1
2011-09-30,3.09
2011-10-10,3.08
2011-10-11,3.11
2011-10-12,3.18
2011-10-13,3.17
2011-10-14,3.17
2011-10-17,3.18
2011-10-18,3.13
2011-10-19,3.13
2011-10-20,3.09
2011-10-21,3.11
2011-10-24,3.22
2011-10-25,3.24
2011-10-26,3.25
2011-10-27,3.28
2011-10-28,3.29
2011-10-31,3.25
2011-11-01,3.24
2011-11-02,3.3
2011-11-03,3.29
2011-11-04,3.31
2011-11-07,3.31
2011-11-08,3.34
2011-11-09,3.36
2011-11-10,3.29
2011-11-11,3.31
2011-11-14,3.35
2011-11-15,3.34
2011-11-16,3.26
2011-11-17,3.25
2011-11-18,3.23
2011-11-21,3.22
2011-11-22,3.2
2011-11-23,3.17
2011-11-24,3.18
2011-11-25,3.13
2011-11-28,3.13
2011-11-29,3.16
2011-11-30,3.1
2011-12-01,3.14
2011-12-02,3.14
2011-12-05,3.18
2011-12-06,3.16
2011-12-07,3.16
2011-12-08,3.18
2011-12-09,3.18
2011-12-12,3.2
2011-12-13,3.18
2011-12-14,3.18
2011-12-15,3.11
2011-12-16,3.12
2011-12-19,3.11
2011-12-20,3.08
2011-12-21,3.07
2011-12-22,3.11
2011-12-23,3.12
2011-12-26,3.11
2011-12-27,3.09
2011-12-28,3.11
2011-12-29,3.08
2011-12-30,3.09
